Word;French Translation;English Definition;Example Sentence
ample;abondant / suffisant;enough or more than enough, plentiful;There is ample evidence to suggest that he committed the crime.
ample;abondant / suffisant;enough or more than enough, plentiful;Don't worry about the time; we have ample opportunity to finish the project.
ample;abondant / suffisant;enough or more than enough, plentiful;The car has ample trunk space for all our luggage.
arid;aride / sec;having no rain, very dry;The cactus is one of the few plants that can survive in such an arid climate.
arid;aride / sec;having no rain, very dry;His lecture was so arid and technical that half the students fell asleep.
arid;aride / sec;having no rain, very dry;After months without rain, the once green fields turned arid and dusty.
blind;aveugle;unable to see, having no sight;He was born blind, but he developed an incredible sense of hearing.
blind;aveugle;unable to see, having no sight;Love is blind, which is why she ignores all his bad habits.
blind;aveugle;unable to see, having no sight;We did a blind taste test to see which cola brand people actually preferred.
deficient;défectueux / carencé / insuffisant;not having enough of a specified quality or ingredient;A diet deficient in Vitamin C can lead to health problems like scurvy.
deficient;défectueux / carencé / insuffisant;not having enough of a specified quality or ingredient;The bridge was closed because the structure was found to be deficient and unsafe.
deficient;défectueux / carencé / insuffisant;not having enough of a specified quality or ingredient;His management skills are deficient, so the team is often confused.
evident;évident / apparent;plain or obvious; clearly seen or understood;It was evident from her smile that she had received good news.
evident;évident / apparent;plain or obvious; clearly seen or understood;The damage to the car was evident immediately after the crash.
evident;évident / apparent;plain or obvious; clearly seen or understood;We hold these truths to be self-evident: that all men are created equal.
oblivious;inconscient / qui ne remarque rien;not being aware or concerned about what is happening around you;He sat reading his book, completely oblivious to the noise around him.
oblivious;inconscient / qui ne remarque rien;not being aware or concerned about what is happening around you;She was oblivious to the fact that she had dropped her wallet.
oblivious;inconscient / qui ne remarque rien;not being aware or concerned about what is happening around you;Pedestrians looking at their phones are often oblivious to traffic.
prevalent;fréquent / répandu;widespread in a particular area at a particular time;Flu is particularly prevalent in the winter months.
prevalent;fréquent / répandu;widespread in a particular area at a particular time;The prevalent opinion among experts is that the economy will recover soon.
prevalent;fréquent / répandu;widespread in a particular area at a particular time;Smartphones are now prevalent even in developing countries.
suitable;approprié / convenable;right or appropriate for a particular person, purpose or situation;The movie contains violence and is not suitable for young children.
suitable;approprié / convenable;right or appropriate for a particular person, purpose or situation;We need to find a suitable date for the meeting that works for everyone.
suitable;approprié / convenable;right or appropriate for a particular person, purpose or situation;She is looking for a suitable candidate to take over her position.
susceptible;sensible / vulnérable / influençable;likely to be able to be influenced or harmed by a particular thing;Older people are more susceptible to infections than young adults.
susceptible;sensible / vulnérable / influençable;likely to be able to be influenced or harmed by a particular thing;He is very susceptible to flattery; you can easily persuade him by complimenting him.
susceptible;sensible / vulnérable / influençable;likely to be able to be influenced or harmed by a particular thing;The crops are highly susceptible to frost damage this time of year.
avert;éviter / prévenir / détourner;to turn away one's eyes or prevent an occurrence;The pilot managed to avert a disaster by landing the plane on the river.
avert;éviter / prévenir / détourner;to turn away one's eyes or prevent an occurrence;She averted her eyes when the scary scene came on the TV screen.
avert;éviter / prévenir / détourner;to turn away one's eyes or prevent an occurrence;Diplomats are working hard to avert a war between the two countries.
broaden;élargir;become larger in distance from side to side or expand;Travel can broaden your mind and help you understand other cultures.
broaden;élargir;become larger in distance from side to side or expand;The city plans to broaden the main road to reduce traffic congestion.
broaden;élargir;become larger in distance from side to side or expand;We need to broaden our customer base by advertising on social media.
carry out;effectuer / réaliser;to put through or follow up on something;The scientist plans to carry out a series of experiments next month.
carry out;effectuer / réaliser;to put through or follow up on something;Soldiers must carry out their orders without asking questions.
carry out;effectuer / réaliser;to put through or follow up on something;They did not carry out the threat, it was just a warning.
defy;braver / défier;openly resist or refuse to obey;It is dangerous to defy the strong currents and swim in this part of the river.
defy;braver / défier;openly resist or refuse to obey;The magician's tricks seemed to defy the laws of physics.
defy;braver / défier;openly resist or refuse to obey;She defied her parents' wishes and moved to New York to become an artist.
enact;promulguer / jouer;make a bill or a law pass OR to act out;Congress will enact new legislation to protect the environment.
enact;promulguer / jouer;make a bill or a law pass OR to act out;The students decided to enact a scene from Romeo and Juliet.
enact;promulguer / jouer;make a bill or a law pass OR to act out;It takes time to enact real change in a large organization.
erode;éroder / effriter;to gradually wear away;The wind and rain will slowly erode these rocks over thousands of years.
erode;éroder / effriter;to gradually wear away;High inflation can erode the purchasing power of your savings.
erode;éroder / effriter;to gradually wear away;Constant criticism began to erode his self-confidence.
exhaust;épuiser / consommer;to drain someone, to tire out or to use up;We have exhausted all our financial resources and need a loan.
exhaust;épuiser / consommer;to drain someone, to tire out or to use up;The long journey completely exhausted the children.
exhaust;épuiser / consommer;to drain someone, to tire out or to use up;Car fumes exhaust into the atmosphere, contributing to pollution.
feign;simuler / feindre;pretend to be affected by (a feeling, state, or injury);The incredible actor can feign sorrow so well that the audience cries.
feign;simuler / feindre;pretend to be affected by (a feeling, state, or injury);I had to feign surprise even though I already knew about the party.
feign;simuler / feindre;pretend to be affected by (a feeling, state, or injury);The animals feign death to escape from predators.
recover;récupérer / se rétablir;return to a normal state of health or get back;It took him months to recover from the serious accident.
