Word;French Translation;English Definition;Example Sentence
constantly;constamment / continuellement;all the time, or often;The software on my computer is constantly asking for updates, which is annoying.
constantly;constamment / continuellement;all the time, or often;He is constantly complaining about the weather, but he never moves to a sunnier place.
constantly;constamment / continuellement;all the time, or often;The market is changing constantly, so we must adapt our strategy every week.
distinct;distinct / séparé / net;clearly noticeable, easy to identify;There is a distinct smell of burning wood in the air; I think there is a fire nearby.
distinct;distinct / séparé / net;clearly noticeable, easy to identify;The two species of birds are distinct, even though they look somewhat similar.
distinct;distinct / séparé / net;clearly noticeable, easy to identify;I got the distinct impression that she was lying to me during the interview.
dormant;dormant / inactif;inactive, but which could become active in the future;The volcano has been dormant for 500 years, but scientists believe it could erupt again.
dormant;dormant / inactif;inactive, but which could become active in the future;Bears remain dormant in their dens during the long winter months.
dormant;dormant / inactif;inactive, but which could become active in the future;The virus can lie dormant in the body for years before symptoms appear.
drab;morne / terne;boring, without bright color;The office walls were painted a drab gray, making the room feel depressing.
drab;morne / terne;boring, without bright color;She grew tired of her drab uniform and longed to wear colorful dresses again.
drab;morne / terne;boring, without bright color;His presentation was quite drab and failed to capture the audience's attention.
dramatic;dramatique / spectaculaire;full of action and excitement or sudden and striking;There has been a dramatic increase in sales since we launched the new website.
dramatic;dramatique / spectaculaire;full of action and excitement or sudden and striking;She made a dramatic entrance at the party, wearing a bright red gown.
dramatic;dramatique / spectaculaire;full of action and excitement or sudden and striking;Don't be so dramatic; it's just a small scratch, not a serious injury.
elaborate;détaillé / complexe / élaborer;containing a lot of detail OR to explain further;The ceiling of the palace was decorated with elaborate carvings and gold leaf.
elaborate;détaillé / complexe / élaborer;containing a lot of detail OR to explain further;He prepared an elaborate dinner with five different courses for his guests.
elaborate;détaillé / complexe / élaborer;containing a lot of detail OR to explain further;Could you please elaborate on your idea? I don't fully understand it yet.
elementary;élémentaire;basic;My knowledge of coding is very elementary; I only know the basics.
elementary;élémentaire;basic;Sherlock Holmes often said the solution was elementary, but Watson was always confused.
elementary;élémentaire;basic;They made an elementary mistake in the calculation that ruined the whole experiment.
erratic;inégal / irrégulier / imprévisible;in a way that is not regular, certain or expected;The stock market has been erratic lately, causing investors to panic.
