Word;French Translation;English Definition;Example Sentence
ample;abondant;enough or more than enough, plentiful;While you start at the bottom of the line, there remains ample room for growth.
arid;aride, sec;having no rain, very dry;New Mexico is a beautiful State, especially Santa Fe, where the lifestyle is frugal. However, the land remains a bit arid for my agricultural projects.
blind;aveugle;unable to see, having no sight;Her blind brother decided to move to a city with adequate accommodation for the disabled community.
deficient;défectueux;not having enough of a specified quality or ingredient;His new computer worked well for a few months. However, it grew deficient rather quickly.
evident;apparent;plain or obvious; clearly seen or understood;After just a few months in his new house, it was evident he would never leave the city again.
oblivious;inconscient;not being aware or concerned about what is happening around you;The news report said the man was quite oblivious when the accident happened.
prevalent;fréquent;widespread in a particular area at a particular time;It is said that his academic success was due to his prevalent intelligence in complex mathematics.
suitable;approprié;right or appropriate for a particular person, purpose or situation;This outfit is unfortunately not suitable for this event. You will have to return home and change your clothes.
susceptible;susceptible;likely to be able to be influenced or harmed by a particular thing;Their relationship was rather unsuccessful. His girlfriend was both jealous and highly susceptible.
avert;éviter, prévenir;to turn away one's eyes or one's attention;As a gesture to his good intentions, his father averted many of his sons mistakes.
broaden;élargir;become larger in distance from side to side; widen;In order to adapt to his new environment, he had to broaden his perspectives and be more open-minded.
carry out;effectuer;to put through or follow up on something;Their decision to move to Canada was well prepared. They had to carry out various administrative steps in a meticulous way.
defy;braver, défier;openly resist or refuse to obey;He lacked both tact and discipline, and constantly wanted to defy his teachers.
enact;promulguer;make a bill or a law pass; to act out (on stage);The new president was very enthusiastic and well versed. In less than a year, he managed to enact several new laws.
erode;éroder;to gradually wear away;Although the pipe seemed of good quality, I saw them erode in a rather quick period.
exhaust;épuiser;to drain someone, to tire out or to use up;Having children is both an intense and beautiful experience. While they are full of joy, they can exhaust you rather quickly.
feign;simuler;pretend to be affected by (a feeling, state, or injury);Most men would rather feign strength than being viewed as sensitive people.
recover;récupérer;return to a normal state of health, mind, or strength;Max's surgery went surprisingly well. After just a few weeks, he had already recovered.
release;relâcher;to allow or enable; to set free;Although he had an excellent and famous lawyer on his side, the judge did not accept this prisoner's release.
shift;déplacer;move or cause to move from one place to another;This museum is beautiful. It seems they have shifted a few things around rather successfully.
surpass;dépasser;to exceed or be greater than;In order to achieve greater things, we must surpass our capacities.
entirely;totalement;completely (used for emphasis);As a past employee, I am not entirely sure of the efficiency of this company's human resources department.
freshly;nouvellement;newly, recently;The freshly installed coffee machine works perfectly, however, the coffee they use is of poor quality.
obviously;évidemment;in a way that is easily perceived or understood; clearly;While I don't recall ever seeing her shop here, I am obviously not one hundred percent certain.
predictably;prévisible / de façon prévisible;in a way that can be predicted; as expected;She predictably told the authorities the truth after being caught with large amounts of illegal substances.
extinguish;éteindre;to cease to burn or shine;The fire crew successfully extinguished the ravaging forest fires.
instigate;susciter;to bring about or initiate something;I hope to obtain your help in order to instigate this year's scholarship applications.
relinquish;renoncer;to give up something voluntarily;My husband chose to relinquish his boss's proposal to become the school's president.
work out;faire du sport;to take part in physical exercises;Working-out has both physical and psychological benefits.
chiefly;principalement;mainly, mostly, or above all;My work chiefly consists of writing and correcting.
exceedingly;extrêmement;to a great extent;I am exceedingly excited about my upcoming trip to Columbia.
instantaneous;instantané;done or happening in an instant or immediately;Fortunately, the results of the exam were instantaneous.
deceptively;trompeusement;in a way that gives a misleading impression;This house is deceptively small, we will not proceed with the purchase.
petition;pétition;a written request to appeal for a cause;Thankfully, they all signed the petition to keep the local store open at night.
shed;abri, hangar;a wood or metal structure used for storage;Max is such a handyman, he built his own shed twice in a row.
